ID	Condition	Trial	TrialPosition	LookingTime	SaccLatency	pred	notpred
26	Soc	7	14	3841.666667	725	1	0
26	Soc	8	15	2550	833.3333333	1	0
26	Soc	9	18	3400	733.3333333	1	0
26	Soc	10	20	2833.333333	1033.333333	1	0
26	Soc	11	22	2675	708.3333333	1	0
26	Soc	12	24	NA	NA	NA	NA
26	Con	1	2	2975	1416.666667	0	1
26	Con	2	4	2816.666667	1525	0	1
26	Con	3	5	2841.666667	1325	0	1
26	Con	4	8	3366.666667	1366.666667	0	1
26	Con	5	10	3166.666667	1300	0	1
26	Con	6	12	3008.333333	1416.666667	0	1
26	Con	7	13	3125	1391.666667	0	1
26	Con	8	16	3283.333333	1275	0	1
26	Con	9	17	2975	1550	0	1
26	Con	10	19	2616.666667	1266.666667	0	1
26	Con	11	21	1633.333333	1925	0	1
26	Con	12	23	1658.333333	NA	NA	NA
27	Soc	1	2	3625	775	1	0
27	Soc	2	4	3658.333333	450	1	0
27	Soc	3	5	4050	433.3333333	1	0
27	Soc	4	7	3833.333333	775	1	0
27	Soc	5	10	3791.666667	675	1	0
27	Soc	6	12	3883.333333	683.3333333	1	0
27	Soc	7	13	3191.666667	1016.666667	1	0
27	Soc	8	15	4091.666667	383.3333333	1	0
27	Soc	9	18	3366.666667	741.6666667	1	0
27	Soc	10	20	1466.666667	883.3333333	1	0
27	Soc	11	22	2391.666667	1208.333333	0	1
27	Soc	12	24	516.6666667	NA	NA	NA
27	Con	1	1	3333.333333	1275	0	1
27	Con	2	3	3233.333333	1341.666667	0	1
27	Con	3	6	3116.666667	1550	0	1
27	Con	4	8	3150	1475	0	1
27	Con	5	9	3383.333333	1275	0	1
27	Con	6	11	3275	1408.333333	0	1
27	Con	7	14	3166.666667	1483.333333	0	1
27	Con	8	16	3333.333333	1458.333333	0	1
27	Con	9	17	3258.333333	1266.666667	0	1
27	Con	10	19	1066.666667	1425	0	1
27	Con	11	21	2708.333333	1266.666667	0	1
27	Con	12	23	1241.666667	1233.333333	0	1
28	Soc	1	1	3525	1283.333333	0	1
28	Soc	2	4	3425	1366.666667	0	1
28	Soc	3	6	3400	1150	1	0
28	Soc	4	8	3500	1066.666667	1	0
28	Soc	5	9	3266.666667	1408.333333	0	1
28	Soc	6	12	3291.666667	1200	1	0
28	Soc	7	13	3383.333333	1333.333333	0	1
28	Soc	8	15	3908.333333	133.3333333	1	0
28	Soc	9	18	3458.333333	1200	1	0
28	Soc	10	20	3308.333333	1325	0	1
28	Soc	11	21	3300	1408.333333	0	1
28	Soc	12	24	3683.333333	891.6666667	1	0
28	Con	1	2	3191.666667	1491.666667	0	1
28	Con	2	3	3491.666667	1275	0	1
28	Con	3	5	3491.666667	1208.333333	0	1
28	Con	4	7	3516.666667	1250	0	1
28	Con	5	10	3475	1241.666667	0	1
28	Con	6	11	3650	1158.333333	1	0
28	Con	7	14	NA	NA	NA	NA
28	Con	8	16	3408.333333	1241.666667	0	1
28	Con	9	17	3533.333333	1233.333333	0	1
28	Con	10	19	3533.333333	1241.666667	0	1
28	Con	11	22	3550	1225	0	1
28	Con	12	23	3483.333333	1208.333333	0	1
29	Soc	1	1	3400	1391.666667	0	1
29	Soc	2	3	2925	1333.333333	0	1
29	Soc	3	6	2000	1325	0	1
29	Soc	4	7	2725	1275	0	1
29	Soc	5	9	2716.666667	1341.666667	0	1
29	Soc	6	11	2725	1408.333333	0	1
29	Soc	7	13	2958.333333	1241.666667	0	1
29	Soc	8	16	916.6666667	1508.333333	0	1
29	Soc	9	17	3191.666667	1275	0	1
29	Soc	10	19	3108.333333	1675	0	1
29	Soc	11	22	1741.666667	1291.666667	0	1
29	Soc	12	24	2550	1275	0	1
29	Con	1	2	3591.666667	1200	1	0
29	Con	2	4	3575	1158.333333	1	0
29	Con	3	5	1541.666667	1191.666667	1	0
29	Con	4	8	2383.333333	NA	NA	NA
29	Con	5	10	3150	1691.666667	0	1
29	Con	6	12	3175	1675	0	1
29	Con	7	14	2566.666667	1433.333333	0	1
29	Con	8	15	1650	1491.666667	0	1
29	Con	9	18	2708.333333	1408.333333	0	1
29	Con	10	20	483.3333333	1441.666667	0	1
29	Con	11	21	1858.333333	NA	NA	NA
29	Con	12	23	2366.666667	1291.666667	0	1
30	Soc	1	1	3416.666667	1333.333333	0	1
30	Soc	2	3	2975	1366.666667	0	1
30	Soc	3	5	3500	1158.333333	1	0
30	Soc	4	7	3166.666667	1200	1	0
30	Soc	5	10	2933.333333	1216.666667	0	1
30	Soc	6	11	3641.666667	1233.333333	0	1
30	Soc	7	13	2766.666667	1291.666667	0	1
30	Soc	8	15	3458.333333	1275	0	1
30	Soc	9	18	3558.333333	1250	0	1
30	Soc	10	19	3666.666667	1175	1	0
30	Soc	11	21	3658.333333	1175	1	0
30	Soc	12	23	2508.333333	1158.333333	1	0
30	Con	1	2	3183.333333	1241.666667	0	1
